Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,noteIDs,Status
06,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,002032,Indicator for digitization,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,102000,Delayed replication of 2 descriptors,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,031001,Delayed descriptor replication factor,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,007062,Depth below sea/water surface,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,022042,Sea/water temperature,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306002,(Current),,002031,Duration and time of current measurement,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306002,(Current),,022004,Direction of current,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306002,(Current),,022031,Speed of current,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306003,(Surface wind and temperature),,002002,Type of instrumentation for wind measurement,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306003,(Surface wind and temperature),,011011,Wind direction at 10 m,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306003,(Surface wind and temperature),,011012,Wind speed at 10 m,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306003,(Surface wind and temperature),,012004,Air temperature at 2 m,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,002032,Indicator for digitization,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,002033,Method of salinity/depth measurement,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,103000,Delayed replication of 3 descriptors,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,031001,Delayed descriptor replication factor,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,007062,Depth below sea/water surface,,,,Operational
