Id,FXY,ElementName_ar,CodeFigure,EntryName_ar,EntryName_sub1_ar,EntryName_sub2_ar,Note_ar,noteIDs,Status
bufr4/0/30/031/0,030031,نوع الصورة,0,مؤشر أسعار المنتجين,,,,,Operational
bufr4/0/30/031/1,030031,نوع الصورة,1,مركب,,,,,Operational
bufr4/0/30/031/2,030031,نوع الصورة,2,كابپل,,,,,Operational
bufr4/0/30/031/3,030031,نوع الصورة,3,قسم عمودي,,,,,Operational
bufr4/0/30/031/4,030031,نوع الصورة,4,بيانات أبجدية رقمية,,,,,Operational
bufr4/0/30/031/5,030031,نوع الصورة,5,خريطة ازدحام الموضوع,,,,,Operational
bufr4/0/30/031/6,030031,نوع الصورة,6,خريطة,,,,,Operational
bufr4/0/30/031/7,030031,نوع الصورة,7,صورة اختبار,,,,,Operational
bufr4/0/30/031/8,030031,نوع الصورة,8,تعليقات,,,,,Operational
bufr4/0/30/031/9,030031,نوع الصورة,9,خريطة الاحتجاب الأرضي,,,,,Operational
bufr4/0/30/031/10,030031,نوع الصورة,10,خريطة ارتفاع شعاع الرادار,,,,,Operational
bufr4/0/30/031/11-13,030031,نوع الصورة,11-13,محجوز,,,,,Operational
bufr4/0/30/031/14,030031,نوع الصورة,14,أخرى,,,,,Operational
bufr4/0/30/031/15,030031,نوع الصورة,15,القيمة المفقودة,,,,,Operational
bufr4/0/30/032/1,030032,الدمج مع بيانات أخرى,1,خريطة,,,,,Operational
bufr4/0/30/032/2,030032,الدمج مع بيانات أخرى,2,الأشعة تحت الحمراء للقمر الصناعي,,,,,Operational
bufr4/0/30/032/3,030032,الدمج مع بيانات أخرى,3,القمر الصناعي VIS,,,,,Operational
bufr4/0/30/032/4,030032,الدمج مع بيانات أخرى,4,القمر الصناعي WV,,,,,Operational
bufr4/0/30/032/5,030032,الدمج مع بيانات أخرى,5,الأقمار الصناعية متعددة الأطياف,,,,,Operational
bufr4/0/30/032/6,030032,الدمج مع بيانات أخرى,6,الملاحظات العامة,,,,,Operational
bufr4/0/30/032/7,030032,الدمج مع بيانات أخرى,7,معايير التوقعات,,,,,Operational
bufr4/0/30/032/8,030032,الدمج مع بيانات أخرى,8,بيانات البرق,,,,,Operational
bufr4/0/30/032/9-14,030032,الدمج مع بيانات أخرى,9-14,محجوز,,,,,Operational
bufr4/0/30/032/15,030032,الدمج مع بيانات أخرى,15,بيانات أخرى,,,,,Operational
bufr4/0/30/032/All-16,030032,الدمج مع بيانات أخرى,All 16,القيمة المفقودة,,,,,Operational
