Id,FXY,ElementName_ar,CodeFigure,EntryName_ar,EntryName_sub1_ar,EntryName_sub2_ar,Note_ar,noteIDs,Status,translated_by
bufr4/0/42/004/0,042004,ثقة الانعكاس لكل تقسيم من أطياف موجات الانتفاخ,0,تم حل اتجاه الموجة,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/42/004/1,042004,ثقة الانعكاس لكل تقسيم من أطياف موجات الانتفاخ,1,لم تُحل الغموض بزاوية 180 درجة.,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/42/004/2-14,042004,ثقة الانعكاس لكل تقسيم من أطياف موجات الانتفاخ,2-14,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/42/004/15,042004,ثقة الانعكاس لكل تقسيم من أطياف موجات الانتفاخ,15,مفقود,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/42/017/0,042017,علم جودة طيف موجات الانتفاخ,0,جيد,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/42/017/1,042017,علم جودة طيف موجات الانتفاخ,1,متوسط,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/42/017/2,042017,علم جودة طيف موجات الانتفاخ,2,منخفض,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/42/017/3,042017,علم جودة طيف موجات الانتفاخ,3,فقير,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/42/017/4-14,042017,علم جودة طيف موجات الانتفاخ,4-14,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/42/017/15,042017,علم جودة طيف موجات الانتفاخ,15,مفقود,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/42/018/0,042018,علم جودة طيف موجات الانتفاخ,0,جيد جدًا,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/42/018/1,042018,علم جودة طيف موجات الانتفاخ,1,جيد,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/42/018/2,042018,علم جودة طيف موجات الانتفاخ,2,متوسط,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/42/018/3,042018,علم جودة طيف موجات الانتفاخ,3,منخفض,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/42/018/4,042018,علم جودة طيف موجات الانتفاخ,4,فقير,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/42/018/5-14,042018,علم جودة طيف موجات الانتفاخ,5-14,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/42/018/15,042018,علم جودة طيف موجات الانتفاخ,15,مفقود,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
