Id,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
bufr4/0/13/038/0,013038,Indicateur superadiabatique,0,Pas superadiabatique,,,,,Operational
bufr4/0/13/038/1,013038,Indicateur superadiabatique,1,Pas superadiabatique,,,,,Operational
bufr4/0/13/038/2,013038,Indicateur superadiabatique,2,Réservé,,,,,Operational
bufr4/0/13/038/3,013038,Indicateur superadiabatique,3,Valeur manquante,,,,,Operational
bufr4/0/13/039/0,013039,Type de terrain (glace/neige),0,Glace de mer,,,,,Operational
bufr4/0/13/039/1,013039,Type de terrain (glace/neige),1,Neige,,,,,Operational
bufr4/0/13/039/2-6,013039,Type de terrain (glace/neige),2-6,Réservé,,,,,Operational
bufr4/0/13/039/7,013039,Type de terrain (glace/neige),7,Valeur manquante,,,,,Operational
bufr4/0/13/040/0,013040,Drapeau de surface,0,Terre,,,,,Operational
bufr4/0/13/040/1,013040,Drapeau de surface,1,Réservé,,,,,Operational
bufr4/0/13/040/2,013040,Drapeau de surface,2,Côte,,,,,Operational
bufr4/0/13/040/3,013040,Drapeau de surface,3,Situation de glace,,,,,Operational
bufr4/0/13/040/4,013040,Drapeau de surface,4,Situation de glace,,,,,Operational
bufr4/0/13/040/5,013040,Drapeau de surface,5,Mer,,,,,Operational
bufr4/0/13/040/6,013040,Drapeau de surface,6,Côte,,,,,Operational
bufr4/0/13/040/7,013040,Drapeau de surface,7,Eaux intérieures,,,(voir la Note),56,Operational
bufr4/0/13/040/8,013040,Drapeau de surface,8,Couverture de neige,,,,,Operational
bufr4/0/13/040/9,013040,Drapeau de surface,9,Glace de mer,,,,,Operational
bufr4/0/13/040/10,013040,Drapeau de surface,10,Eau stagnante,,,,,Operational
bufr4/0/13/040/11,013040,Drapeau de surface,11,Neige,,,,,Operational
bufr4/0/13/040/12,013040,Drapeau de surface,12,Sol gelé,,,,,Operational
bufr4/0/13/040/13-14,013040,Drapeau de surface,13-14,Réservé,,,,,Operational
bufr4/0/13/040/15,013040,Drapeau de surface,15,Valeur manquante,,,,,Operational
bufr4/0/13/041/1,013041,Catégorie de stabilité de Pasquill-Gifford,1,Un,,,,,Operational
bufr4/0/13/041/2,013041,Catégorie de stabilité de Pasquill-Gifford,2,A - B,,,,,Operational
bufr4/0/13/041/3,013041,Catégorie de stabilité de Pasquill-Gifford,3,B,,,,,Operational
bufr4/0/13/041/4,013041,Catégorie de stabilité de Pasquill-Gifford,4,B - C,,,,,Operational
bufr4/0/13/041/5,013041,Catégorie de stabilité de Pasquill-Gifford,5,C,,,,,Operational
bufr4/0/13/041/6,013041,Catégorie de stabilité de Pasquill-Gifford,6,D,,,,,Operational
bufr4/0/13/041/7,013041,Catégorie de stabilité de Pasquill-Gifford,7,E,,,,,Operational
bufr4/0/13/041/8,013041,Catégorie de stabilité de Pasquill-Gifford,8,F,,,,,Operational
bufr4/0/13/041/9,013041,Catégorie de stabilité de Pasquill-Gifford,9,G,,,,,Operational
bufr4/0/13/041/10-14,013041,Catégorie de stabilité de Pasquill-Gifford,10-14,Réservé,,,,,Operational
bufr4/0/13/041/15,013041,Catégorie de stabilité de Pasquill-Gifford,15,Valeur manquante,,,,,Operational
bufr4/0/13/051/0,013051,"Groupe de fréquence, précipitation",0,Plus petit que toute valeur sur la période de 30 ans,,,,,Operational
bufr4/0/13/051/1,013051,"Groupe de fréquence, précipitation",1,Dans le premier quintile,,,,,Operational
bufr4/0/13/051/2,013051,"Groupe de fréquence, précipitation",2,Dans le premier quintile,,,,,Operational
bufr4/0/13/051/3,013051,"Groupe de fréquence, précipitation",3,Dans le premier quintile,,,,,Operational
bufr4/0/13/051/4,013051,"Groupe de fréquence, précipitation",4,Dans le premier quintile,,,,,Operational
bufr4/0/13/051/5,013051,"Groupe de fréquence, précipitation",5,Dans le premier quintile,,,,,Operational
bufr4/0/13/051/6,013051,"Groupe de fréquence, précipitation",6,Plus petit que toute valeur sur la période de 30 ans,,,,,Operational
bufr4/0/13/051/7-14,013051,"Groupe de fréquence, précipitation",7-14,Réservé,,,,,Operational
