Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status
bufr4/0/14/001,14,Éclat ou irradiance inférieure ou égale à zéro,014001,"Rayonnement à ondes courtes, intégré sur 24 heures",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/002,14,Éclat ou irradiance inférieure ou égale à zéro,014002,"Rayonnement à ondes longues, intégré sur la période spécifiée",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/003,14,Éclat ou irradiance inférieure ou égale à zéro,014003,"Rayonnement à ondes courtes, intégré sur 24 heures",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/004,14,Éclat ou irradiance inférieure ou égale à zéro,014004,"Rayonnement à ondes longues, intégré sur la période spécifiée",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/011,14,Éclat ou irradiance inférieure ou égale à zéro,014011,"Rayonnement à ondes courtes, intégré sur 24 heures",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/012,14,Éclat ou irradiance inférieure ou égale à zéro,014012,"Rayonnement à ondes longues, intégré sur la période spécifiée",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/013,14,Éclat ou irradiance inférieure ou égale à zéro,014013,"Rayonnement à ondes courtes, intégré sur 24 heures",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/014,14,Éclat ou irradiance inférieure ou égale à zéro,014014,"Rayonnement net, intégré sur la période spécifiée",J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/015,14,Éclat ou irradiance inférieure ou égale à zéro,014015,"Rayonnement à ondes courtes, intégré sur 24 heures",J m-2,-4,-16384,15,J m-2,-4,5,,,Operational
bufr4/0/14/016,14,Éclat ou irradiance inférieure ou égale à zéro,014016,"Rayonnement net, intégré sur la période spécifiée",J m-2,-4,-16384,15,J m-2,-4,5,,,Operational
bufr4/0/14/017,14,Éclat ou irradiance inférieure ou égale à zéro,014017,Rayonnement à ondes longues instantané,W m-2,0,-512,10,W m-2,0,4,,,Operational
bufr4/0/14/018,14,Éclat ou irradiance inférieure ou égale à zéro,014018,Rayonnement à ondes longues instantané,W m-2,0,-2048,12,W m-2,0,4,,,Operational
bufr4/0/14/019,14,Éclat ou irradiance inférieure ou égale à zéro,014019,Albédo de surface,%,0,0,7,%,0,3,,,Operational
bufr4/0/14/020,14,Éclat ou irradiance inférieure ou égale à zéro,014020,Rayonnement solaire direct intégré sur la dernière heure,J m-2,-4,0,15,J m-2,-4,5,,,Operational
bufr4/0/14/021,14,Éclat ou irradiance inférieure ou égale à zéro,014021,"Rayonnement solaire global, intégré sur la période spécifiée",J m-2,-4,0,15,J m-2,-4,5,,,Operational
bufr4/0/14/022,14,Éclat ou irradiance inférieure ou égale à zéro,014022,Rayonnement solaire direct intégré sur la dernière heure,J m-2,-4,0,15,J m-2,-4,5,,,Operational
