FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
022056,Direction du profil,0,Profil ascendant,,,,,Operational
022056,Direction du profil,1,Profil descendant,,,,,Operational
022056,Direction du profil,2,Horizontal,,,,,Operational
022056,Direction du profil,3,Valeur manquante,,,,,Operational
022060,État de l'ancre flottante – flotteur lagrangien,0,Le flotteur n'a plus d'ancre flottante,,,,,Operational
022060,État de l'ancre flottante – flotteur lagrangien,1,L'ancre flottante est en place,,,,,Operational
022060,État de l'ancre flottante – flotteur lagrangien,2,L'état de l'ancre flottante est inconnu,,,,,Operational
022060,État de l'ancre flottante – flotteur lagrangien,3-6,En réserve,,,,,Operational
022060,État de l'ancre flottante – flotteur lagrangien,7,Valeur manquante,,,,,Operational
022061,État de la mer,0,Calme (sans rides),0,,,,Operational
022061,État de la mer,1,Calme (ridée),0,"0,1",,,Operational
022061,État de la mer,2,Belle (vaguelettes),"0,1","0,5",,,Operational
022061,État de la mer,3,Peu agitée,"0,5","1,25",,,Operational
022061,État de la mer,4,Agitée,"1,25","2,5",,,Operational
022061,État de la mer,5,Forte,"2,5",4,,,Operational
022061,État de la mer,6,Très forte,4,6,,,Operational
022061,État de la mer,7,Grosse,6,9,,,Operational
022061,État de la mer,8,Très grosse,9,14,,,Operational
022061,État de la mer,9,Énorme,Dépassant 14,,,,Operational
022061,État de la mer,10-14,En réserve,,,,,Operational
022061,État de la mer,15,Valeur manquante,,,,,Operational
022120,Vérification automatique du niveau d'eau à la station d'observation des marées,0,Données de bonne qualité,,,,,Operational
022120,Vérification automatique du niveau d'eau à la station d'observation des marées,1,Limite du niveau maximal de l'eau (supérieur) dépassée,,,,,Operational
022120,Vérification automatique du niveau d'eau à la station d'observation des marées,2,Limite du niveau minimal de l'eau (inférieur) dépassée,,,,,Operational
022120,Vérification automatique du niveau d'eau à la station d'observation des marées,3,Limite de la vitesse de variation du niveau d'eau dépassée,,,,,Operational
022120,Vérification automatique du niveau d'eau à la station d'observation des marées,4,Limite uniforme de niveau d'eau dépassée,,,,,Operational
022120,Vérification automatique du niveau d'eau à la station d'observation des marées,5,Limite de la valeur du niveau d'eau observé moins la valeur du niveau d'eau prévu dépassée,,,,,Operational
022120,Vérification automatique du niveau d'eau à la station d'observation des marées,6,Valeur observée par capteur de niveau d'eau primaire moins valeur du capteur de niveau d'eau de réserve,,,,,Operational
022120,Vérification automatique du niveau d'eau à la station d'observation des marées,7,Tolérance spécifiée de la valeur dépassée par rapport à la valeur prévue,,,,,Operational
022120,Vérification automatique du niveau d'eau à la station d'observation des marées,8,Limites dépassées (EMQ et/ou valeurs aberrantes) du paramètre d'assurance de la qualité du niveau d'eau,,,,,Operational
022120,Vérification automatique du niveau d'eau à la station d'observation des marées,9,Température de la mer en dehors d'une gamme prévue,,,,,Operational
022120,Vérification automatique du niveau d'eau à la station d'observation des marées,10,Echec des multiples contrôles de la qualité (ci-dessus),,,,,Operational
022120,Vérification automatique du niveau d'eau à la station d'observation des marées,11,Aucune vérification automatique du niveau d'eau n'a été effectuée,,,,,Operational
022120,Vérification automatique du niveau d'eau à la station d'observation des marées,12-30,En réserve,,,,,Operational
022120,Vérification automatique du niveau d'eau à la station d'observation des marées,31,Valeur manquante,,,,,Operational
022121,Vérification manuelle du niveau d'eau à la station d'observation des marées,0,En service,,,,,Operational
022121,Vérification manuelle du niveau d'eau à la station d'observation des marées,1,Problème éventuel de blocage ou alors données du niveau d'eau dégradées,,,,,Operational
022121,Vérification manuelle du niveau d'eau à la station d'observation des marées,2,Décalage éventuel d'une donnée,,,,,Operational
022121,Vérification manuelle du niveau d'eau à la station d'observation des marées,3,État du capteur de niveau d'eau inconnu,,,,,Operational
022121,Vérification manuelle du niveau d'eau à la station d'observation des marées,4,Problème suspecté ou connu sur le capteur de la température d'eau,,,,,Operational
022121,Vérification manuelle du niveau d'eau à la station d'observation des marées,5,Problèmes éventuels multiples (ci-dessus),,,,,Operational
022121,Vérification manuelle du niveau d'eau à la station d'observation des marées,6,Donnée mauvaise - NE PAS DIFFUSER!,,,,,Operational
022121,Vérification manuelle du niveau d'eau à la station d'observation des marées,7,Aucune vérification manuelle du niveau d'eau n'a été effectuée,,,,,Operational
022121,Vérification manuelle du niveau d'eau à la station d'observation des marées,8-30,En réserve,,,,,Operational
022121,Vérification manuelle du niveau d'eau à la station d'observation des marées,31,Valeur manquante,,,,,Operational
022122,Vérification automatique des données météorologiques à la station d'observation des marées,0,Données de bonne qualité fournies par tous les capteurs,,,,,Operational
022122,Vérification automatique des données météorologiques à la station d'observation des marées,1,Direction du vent situé à l'extérieur des limites autorisées,,,,,Operational
022122,Vérification automatique des données météorologiques à la station d'observation des marées,2,Vitesse du vent situé à l'extérieur des limites prévues,,,,,Operational
022122,Vérification automatique des données météorologiques à la station d'observation des marées,3,Pression barométrique située à l'extérieur des limites prévues,,,,,Operational
022122,Vérification automatique des données météorologiques à la station d'observation des marées,4,Température de l'air située à l'extérieur des limites prévues,,,,,Operational
022122,Vérification automatique des données météorologiques à la station d'observation des marées,5,De multiples capteurs ont échoué dans les vérifications de contrôle de la qualité,,,,,Operational
022122,Vérification automatique des données météorologiques à la station d'observation des marées,6,Aucune vérification automatique des données météorologiques n'a été effectuée,,,,,Operational
022122,Vérification automatique des données météorologiques à la station d'observation des marées,7-30,En réserve,,,,,Operational
