Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit_fr,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_fr,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status
bufr4/0/33/002,33,Informations de qualité,033002,Informations de qualité,Table de code,0,0,2,Table de code,0,1,,,Operational
bufr4/0/33/003,33,Informations de qualité,033003,Informations de qualité,Table de code,0,0,3,Table de code,0,1,,,Operational
bufr4/0/33/005,33,Informations de qualité,033005,Informations de qualité (données AWS),Table d'indicateurs,0,0,30,Table d'indicateurs,0,10,,,Operational
bufr4/0/33/006,33,Informations de qualité,033006,Informations sur l'état des mesures internes (AWS),Table de code,0,0,3,Table de code,0,1,,,Operational
bufr4/0/33/007,33,Informations de qualité,033007,Pourcentage de confiance,%,0,0,7,%,0,3,,,Operational
bufr4/0/33/015,33,Informations de qualité,033015,Indicateur de vérification de la qualité des données,Table de code,0,0,6,Table de code,0,2,,,Operational
bufr4/0/33/020,33,Informations de qualité,033020,Indication de contrôle de qualité de la valeur suivante,Table de code,0,0,3,Table de code,0,1,,,Operational
bufr4/0/33/021,33,Informations de qualité,033021,Qualité de la valeur suivante,Table de code,0,0,2,Table de code,0,1,,,Operational
bufr4/0/33/022,33,Informations de qualité,033022,Qualité de la transmission satellite de la bouée,Table de code,0,0,2,Table de code,0,1,,,Operational
bufr4/0/33/023,33,Informations de qualité,033023,Qualité de l'emplacement de la bouée,Table de code,0,0,2,Table de code,0,1,,,Operational
bufr4/0/33/024,33,Informations de qualité,033024,Marque de qualité d'altitude de station (pour stations mobiles),Table de code,0,0,4,Table de code,0,2,,,Operational
bufr4/0/33/025,33,Informations de qualité,033025,Indicateur des valeurs interpolées ACARS,Table de code,0,0,3,Table de code,0,1,,,Operational
bufr4/0/33/026,33,Informations de qualité,033026,Qualité de l'humidité,Table de code,0,0,6,Table de code,0,2,,,Operational
bufr4/0/33/027,33,Informations de qualité,033027,Classe de qualité de localisation (plage de rayon de confiance à 66 %),Table de code,0,0,3,Table de code,0,1,,,Operational
bufr4/0/33/028,33,Informations de qualité,033028,Qualité globale instantanée,Table de code,0,0,3,Table de code,0,1,,,Operational
bufr4/0/33/030,33,Informations de qualité,033030,Indicateurs d'état des lignes de balayage pour ATOVS,Table d'indicateurs,0,0,24,Table d'indicateurs,0,8,,,Operational
bufr4/0/33/031,33,Informations de qualité,033031,Indicateurs d'état des lignes de balayage pour ATOVS,Table d'indicateurs,0,0,24,Table d'indicateurs,0,8,,,Operational
