Id,FXY,OperatorName_fr,OperationDefinition_fr,Note_fr,noteIDs,Status,translated_by
bufr4/201YYY,201YYY,Changement du champ de données,"Ajouter (YYY-128) bits à la largeur de données indiquée pour chaque élément de données de la Table B, autre que des données CCITT IA5 (caractères), une table de code ou une table d'indicateurs.",(voir note 1),1,Operational,"AI Translator: MCP (active retrieval, Literal), Previous Translation Used"
bufr4/202YYY,202YYY,échelle,"Ajoutez YYY-128 à l'échelle pour chaque élément de données dans la Table B, à l'exception des données de caractères CCITT IA5, des tables de code ou des tables d'indicateurs.",(voir notes 1 et 2),"1,2",Operational,"AI Translator: MCP (active retrieval, Literal)"
bufr4/203YYY,203YYY,Changer de valeurs de référence,"Les descripteurs d'éléments suivants définissent de nouvelles valeurs de référence pour les entrées correspondantes de la Table B. Chaque nouvelle valeur de référence est représentée par YYY bits dans la section de données. Pour terminer la définition des nouvelles valeurs de référence, on code YYY = 255. Les valeurs de référence négatives sont représentées par un nombre entier positif pour lequel le bit le plus à gauche (bit 1) est mis à 1.",(voir note 1),1,Operational,"AI Translator: MCP (active retrieval, Literal), Previous Translation Used"
bufr4/204YYY,204YYY,Ajout d'un champ associé,"Précédez chaque élément de données avec YYY bits d'information. Cette opération associe un champ de données (par exemple, des informations de contrôle de qualité) de YYY bits à chaque élément de données.","(voir Notes 1, 5, 6, 7, 9)","1,5,6,7,9",Operational,"AI Translator: MCP (active retrieval, Literal), Previous Translation Used"
bufr4/205YYY,205YYY,Répétition différée de 1 descripteur,YYY caractères (codés conformément à l'Alphabet international N° 5 du CCITT) sont insérés en tant que champ de données de YYY x 8 bits.,(voir note 12),11,Operational,"AI Translator: MCP (active retrieval, Literal), Glossary Used, Previous Translation Used"
bufr4/206YYY,206YYY,Indiquer la largeur de données pour le descripteur local suivant immédiatement.,YYY bits de données sont décrits par le descripteur suivant immédiatement.,(voir note 12),12,Operational,"AI Translator: MCP (active retrieval, Literal), Previous Translation Used"
bufr4/207YYY,207YYY,"Augmenter l'échelle, les valeurs de référence et la largeur de données","Pour les éléments de la Table B, qui ne sont pas CCITT IA5 (caractère), table de code ou table d'indicateurs :  
1. Ajoutez YYY à l'échelle existante  
2. Multipliez les valeurs de référence existantes par 10**YYY  
3. Calculez ((10 x YYY) + 2) ÷ 3, ignorez tout reste fractionnaire et ajoutez le résultat au champ de données existant.",(voir Notes 1 et 4),"1,4",Operational,"AI Translator: MCP (active retrieval, Literal), Glossary Used, Previous Translation Used"
bufr4/208YYY,208YYY,Modifier la largeur du champ de données CCITT IA5,YYY caractères de l'Alphabet international CCITT n° 5 (représentant YYY x 8 bits de longueur) remplacent la largeur de données spécifiée donnée pour chaque élément CCITT IA5 dans la Table B.,(voir note 1),1,Operational,"AI Translator: MCP (active retrieval, Literal)"
bufr4/221YYY,221YYY,Données absentes,Les valeurs de données dans la Section 4 (section de données) correspondant aux descripteurs YYY qui suivent ne portent que sur les données des classes 01 à 09 et 31.,(voir note 15),15,Operational,"AI Translator: MCP (active retrieval, Literal), Previous Translation Used"
bufr4/222000,222000,Informations sur la qualité à la suite,Les valeurs des éléments de la classe 33 qui suivent portent sur les données définies par la table binaire de présence de données.,,,Operational,"AI Translator: MCP (active retrieval, Literal), Glossary Used, Previous Translation Used"
bufr4/223000,223000,Opérateur de valeurs substituées,Les valeurs substituées qui suivent portent sur les données définies par la table binaire de présence de données.,(voir Note 14),14,Operational,"AI Translator: MCP (active retrieval, Literal), Previous Translation Used"
bufr4/223255,223255,Opérateur repère de valeurs substituées,Cet opérateur désigne un élément de données contenant une valeur substituée ; le descripteur d'élément auquel correspond la valeur substituée s'obtient en appliquant la table binaire de présence de données associée à l'Opérateur de valeurs substituées.,(voir Note 14),14,Operational,"AI Translator: MCP (active retrieval, Literal), Previous Translation Used"
bufr4/224000,224000,valeurs statistiques de premier ordre à la suite,Les valeurs statistiques qui suivent portent sur les données définies par la table binaire de présence de données.,(voir note 16),16,Operational,"AI Translator: MCP (active retrieval, Literal), Previous Translation Used"
bufr4/224255,224255,Valeurs statistiques Opérateur repère de valeurs substituées,Cet opérateur désigne un élément de données contenant une valeur statistique de premier ordre du type indiqué par le descripteur d'élément 0 08 023 précédent ; le descripteur d'élément correspondant à la valeur statistique différentielle s'obtient en appliquant la table binaire de présence de données associée à l'opérateur valeurs statistiques de premier ordre à la suite ; les valeurs statistiques de premier ordre sont représentées selon la définition de ce descripteur d'élément.,(voir note 17),17,Operational,"AI Translator: MCP (active retrieval, Literal), Previous Translation Used"
bufr4/225000,225000,valeurs statistiques différentielles à la suite,Les valeurs statistiques qui suivent portent sur les données définies par la table binaire de présence de données.,,,Operational,"AI Translator: MCP (active retrieval, Literal), Glossary Used, Previous Translation Used"
bufr4/225255,225255,opérateur repère des valeurs statistiques différentielles,"Cet opérateur désigne un élément de données contenant une valeur statistique différentielle du type indiqué par le descripteur d'élément 0 08 024 précédent ; le descripteur d'élément correspondant à la statistique différentielle s'obtient en appliquant la table binaire de présence de données associée à l'opérateur valeurs statistiques différentielles à la suite ; les valeurs statistiques différentielles sont représentées selon la définition de ce descripteur d'élément, mais avec une valeur de référence égale à -2^n et une largeur de données de (n+1), n étant la largeur de données indiquée par le descripteur d'origine. Cette valeur de référence spéciale permet de centrer les valeurs des différences statistiques sur le zéro.",,,Operational,"AI Translator: MCP (active retrieval, Literal), Previous Translation Used"
bufr4/232000,232000,valeurs remplacées/retenues à la suite,Les valeurs remplacées/retenues qui suivent portent sur les données définies par la table binaire de présence de données.,(voir note 10),13,Operational,"AI Translator: MCP (active retrieval, Literal), Previous Translation Used"
bufr4/232255,232255,opérateur repère de valeurs remplacées/retenues,Cet opérateur doit signifier un élément de données contenant l'original d'un élément qui a été remplacé par une valeur substituée. Les descripteurs d'éléments pour les valeurs remplacées/retenues sont obtenus par l'application de la table binaire de présence de données associée à l'Opérateur de valeurs substituées.,(voir note 10),13,Operational,"AI Translator: MCP (active retrieval, Literal)"
bufr4/235000,235000,Annuler les références en amont,Cet opérateur annule toute référence précédemment définie en amont et toute table binaire de présence de données précédemment définie ; la table binaire de présence de données suivante renvoie aux descripteurs de données précédant immédiatement l'opérateur auquel elle correspond.,,,Operational,"AI Translator: MCP (active retrieval, Literal)"
bufr4/236000,236000,Définir une table binaire de présence de données,Cet opérateur définit la table binaire de présence de données qui suit de façon à ce qu'elle puisse être réutilisée ; une seule table binaire de présence de données peut être définie entre cet opérateur et l'opérateur annulant l'utilisation de la table binaire de présence de données définie.,,,Operational,"AI Translator: MCP (active retrieval, Literal), Glossary Used, Previous Translation Used"
bufr4/237000,237000,Utiliser la table binaire de présence de données définie,Cet opérateur permet de réutiliser la table binaire de présence de données définie.,,,Operational,"AI Translator: MCP (active retrieval, Literal)"
bufr4/237255,237255,Annuler l'utilisation de la table binaire de présence de données définie.,Cet opérateur annule la réutilisation de la table binaire de présence de données définie.,,,Operational,"AI Translator: MCP (active retrieval, Literal)"
bufr4/241000,241000,Définir le phénomène,Cet opérateur indique le commencement de la définition d'un phénomène.,(voir note 19),19,Operational,"AI Translator: MCP (active retrieval, Literal), Previous Translation Used"
bufr4/241255,241255,Annuler la définition du phénomène,"Cet opérateur indique la fin de la définition du phénomène, qui avait commencé avec l'opérateur précédent 2 41 000.",,,Operational,"AI Translator: MCP (active retrieval, Literal), Glossary Used, Previous Translation Used"
bufr4/242000,242000,Définir le phénomène associé,Cet opérateur indique le commencement de la définition d'un événement conditionnant.,(voir note 19),19,Operational,"AI Translator: MCP (active retrieval, Literal), Previous Translation Used"
bufr4/242255,242255,Annuler la définition du phénomène associé,"Cet opérateur indique la fin de la définition du phénomène associé, qui avait commencé avec l'opérateur précédent 2 42 000.",,,Operational,"AI Translator: MCP (active retrieval, Literal)"
bufr4/243000,243000,valeurs prévisionnelles catégoriques à la suite,Les valeurs suivantes sont des valeurs prévisionnelles catégoriques.,(voir note 20),20,Operational,"AI Translator: MCP (active retrieval, Literal), Previous Translation Used"
bufr4/243255,243255,Annuler les valeurs prévisionnelles catégoriques suivantes.,"Cet opérateur indique la fin de la définition des valeurs prévisionnelles catégoriques, qui ont commencé avec l'opérateur précédent 2 43 000.",,,Operational,"AI Translator: MCP (active retrieval, Literal)"
