FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
030031,Type d'image,0,PPI,,,,,Operational
030031,Type d'image,1,Composite,,,,,Operational
030031,Type d'image,2,CAPPI,,,,,Operational
030031,Type d'image,3,Section verticale,,,,,Operational
030031,Type d'image,4,Données alphanumériques,,,,,Operational
030031,Type d'image,5,Carte des échos fixes,,,,,Operational
030031,Type d'image,6,Carte,,,,,Operational
030031,Type d'image,7,Image test,,,,,Operational
030031,Type d'image,8,Commentaires,,,,,Operational
030031,Type d'image,9,Carte d'occultation au sol,,,,,Operational
030031,Type d'image,10,Carte de hauteur du faisceau radar,,,,,Operational
030031,Type d'image,11-13,En réserve,,,,,Operational
030031,Type d'image,14,Autre,,,,,Operational
030031,Type d'image,15,Valeur manquante,,,,,Operational
030032,Combinaison avec d'autres données,1,Carte,,,,,Operational
030032,Combinaison avec d'autres données,2,Données satellitaires dans l'infrarouge,,,,,Operational
030032,Combinaison avec d'autres données,3,Données satellitaires dans le visible,,,,,Operational
030032,Combinaison avec d'autres données,4,Données satellitaires dans les bandes d'absorption de la vapeur d'eau,,,,,Operational
030032,Combinaison avec d'autres données,5,Données satellitaires multispectrales,,,,,Operational
030032,Combinaison avec d'autres données,6,Observations synoptiques,,,,,Operational
030032,Combinaison avec d'autres données,7,Paramètres prévus,,,,,Operational
030032,Combinaison avec d'autres données,8,Données sur les éclairs,,,,,Operational
030032,Combinaison avec d'autres données,9-14,En réserve,,,,,Operational
030032,Combinaison avec d'autres données,15,Autres données,,,,,Operational
030032,Combinaison avec d'autres données,16 bits mis à 1,Valeur manquante,,,,,Operational
