"ClassNo","ClassName_fr","FXY","ElementName_fr","BUFR_Unit_fr","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit_fr","CREX_Scale","CREX_DataWidth_Char","Note_fr","noteIDs","Status"
"25","Classe 25 — Informations sur le traitement","025001","Distance de la porte d'intégration","m","-1","0","6","m","-1","2","","","Operational"
"25","Classe 25 — Informations sur le traitement","025002","Nombre moyen de portes","Numérique","0","0","4","Numérique","0","2","","","Operational"
"25","Classe 25 — Informations sur le traitement","025003","Nombre d'impulsions intégrées","Numérique","0","0","8","Numérique","0","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025004","Traitement des échos","Table de code","0","0","2","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025005","Intégration des échos","Table de code","0","0","2","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025006","Conversion Z – R","Table de code","0","0","3","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025007","Facteur de conversion Z – R","Numérique","0","0","12","Numérique","0","4","","","Operational"
"25","Classe 25 — Informations sur le traitement","025008","Exposant de conversion Z – R","Numérique","2","0","9","Numérique","2","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025009","Méthode d'étalonnage","Table d'indicateurs","0","0","4","Table d'indicateurs","0","2","(voir note 3)","3","Operational"
"25","Classe 25 — Informations sur le traitement","025010","Traitement des échos fixes","Table de code","0","0","4","Table de code","0","2","","","Operational"
"25","Classe 25 — Informations sur le traitement","025011","Correction des échos de sol (filtrage)","Table de code","0","0","2","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025012","Correction de l'atténuation de portée","Table de code","0","0","2","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025013","Correction de la bande brillante","Table d'indicateurs","0","0","2","Table d'indicateurs","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025014","Coupure azimutale due au fouillis","Numérique","0","0","12","Numérique","0","4","(voir note 1)","1","Operational"
"25","Classe 25 — Informations sur le traitement","025015","Correction de l'atténuation par le radôme","Table d'indicateurs","0","0","2","Table d'indicateurs","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025016","Correction de l'atténuation en air clair","dB m-¹","5","0","6","dB m-1","5","2","","","Operational"
"25","Classe 25 — Informations sur le traitement","025017","Correction de l'atténuation par les précipitations","Table d'indicateurs","0","0","2","Table d'indicateurs","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025018","Loi reliant A à Z pour le facteur d'atténuation","Numérique","7","0","6","Numérique","7","2","","","Operational"
"25","Classe 25 — Informations sur le traitement","025019","Loi reliant A à Z pour l'exposant d'atténuation","Numérique","2","0","7","Numérique","2","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025020","Estimation de la vitesse moyenne","Table de code","0","0","2","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025021","Renforcement du calcul du vent","Table d'indicateurs","0","0","8","Table d'indicateurs","0","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025022","Indicateur de rejet des données GHRSST*","Table d'indicateurs","0","0","9","Table d'indicateurs","0","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025023","Indicateur de confiance des données GHRSST","Table d'indicateurs","0","0","9","Table d'indicateurs","0","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025024","Qualité des données GHRSST","Table de code","0","0","4","Table de code","0","2","","","Operational"
"25","Classe 25 — Informations sur le traitement","025025","Voltage de la batterie","V","1","0","9","V","1","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025026","Tension de la batterie (grande portée)","V","1","0","12","V","1","4","","","Operational"
