Id,FXY,ElementName_rus,CodeFigure,EntryName_rus,EntryName_sub1_rus,EntryName_sub2_rus,Note_rus,noteIDs,Status
bufr4/0/01/003/0,001003,Номер региона ВМО/географическая область,0,Антарктида,,,,,Operational
bufr4/0/01/003/1,001003,Номер региона ВМО/географическая область,1,Региональный,,,,,Operational
bufr4/0/01/003/2,001003,Номер региона ВМО/географическая область,2,Регион II,,,,,Operational
bufr4/0/01/003/3,001003,Номер региона ВМО/географическая область,3,Регион II,,,,,Operational
bufr4/0/01/003/4,001003,Номер региона ВМО/географическая область,4,Регион II,,,,,Operational
bufr4/0/01/003/5,001003,Номер региона ВМО/географическая область,5,Регион V,,,,,Operational
bufr4/0/01/003/6,001003,Номер региона ВМО/географическая область,6,Регион V,,,,,Operational
bufr4/0/01/003/7,001003,Номер региона ВМО/географическая область,7,Отсутствующее значение,,,,,Operational
bufr4/0/01/007,001007,Суб-идентификатор спутника,,,,,,,Operational
bufr4/0/01/024/0,001024,Скорость ветра,0,Данные о скорости ветра отсутствуют,,,,,Operational
bufr4/0/01/024/1,001024,Скорость ветра,1,Данные AMSR-E,,,,,Operational
bufr4/0/01/024/2,001024,Скорость ветра,2,Данные TMI,,,,,Operational
bufr4/0/01/024/3,001024,Скорость ветра,3,НПО: ECMWF,,,,,Operational
bufr4/0/01/024/4,001024,Скорость ветра,4,НМП: Метеорологическая служба Великобритании,,,,,Operational
bufr4/0/01/024/5,001024,Скорость ветра,5,НПО: NCEP,,,,,Operational
bufr4/0/01/024/6,001024,Скорость ветра,6,Климатология,,,,,Operational
bufr4/0/01/024/7,001024,Скорость ветра,7,ERS_скаттерометр,,,,,Operational
bufr4/0/01/024/8-30,001024,Скорость ветра,8-30,Зарезервировано для будущего использования,,,,,Operational
bufr4/0/01/024/31,001024,Скорость ветра,31,Отсутствующее значение,,,,,Operational
bufr4/0/01/028/0,001028,Оптическая толщина аэрозоля,0,Данные AOD недоступны,,,,,Operational
bufr4/0/01/028/1,001028,Оптическая толщина аэрозоля,1,НЭСДИС,,,,,Operational
bufr4/0/01/028/2,001028,Оптическая толщина аэрозоля,2,НАВОКЕАНО,,,,,Operational
bufr4/0/01/028/3,001028,Оптическая толщина аэрозоля,3,НААПС,,,,,Operational
bufr4/0/01/028/4,001028,Оптическая толщина аэрозоля,4,МЕРИС,,,,,Operational
bufr4/0/01/028/5,001028,Оптическая толщина аэрозоля,5,ААТСР,,,,,Operational
bufr4/0/01/028/6-30,001028,Оптическая толщина аэрозоля,6-30,Зарезервировано для будущего использования,,,,,Operational
bufr4/0/01/028/31,001028,Оптическая толщина аэрозоля,31,Отсутствующее значение,,,,,Operational
bufr4/0/01/029/0,001029,Источник SSI,0,Данные SSI недоступны,,,,,Operational
bufr4/0/01/029/1,001029,Источник SSI,1,MSG_SEVIRI,,,,,Operational
bufr4/0/01/029/2,001029,Источник SSI,2,GOES Восток,,,,,Operational
bufr4/0/01/029/3,001029,Источник SSI,3,GOES Восток,,,,,Operational
bufr4/0/01/029/4,001029,Источник SSI,4,ЕЦММ.,,,,,Operational
bufr4/0/01/029/5,001029,Источник SSI,5,НЦЭП,,,,,Operational
bufr4/0/01/029/6,001029,Источник SSI,6,НМП: Метеорологическая служба Великобритании,,,,,Operational
bufr4/0/01/029/7-30,001029,Источник SSI,7-30,Зарезервировано для будущего использования,,,,,Operational
bufr4/0/01/029/31,001029,Источник SSI,31,Отсутствующее значение,,,,,Operational
bufr4/0/01/031,001031,Идентификация исходного/генерирующего центра,,,,,,,Operational
bufr4/0/01/033,001033,Идентификация исходного/генерирующего центра,,,,,,,Operational
bufr4/0/01/034,001034,Идентификация исходного/генерирующего центра,,,,,,,Operational
bufr4/0/01/035,001035,Идентификация исходного/генерирующего центра,,,,,,,Operational
bufr4/0/01/036/0-36000,001036,"Агентство, ответственное за управление наблюдательной платформой",0-36000,Зарезервировано,,,,,Operational
bufr4/0/01/036/36001,001036,"Агентство, ответственное за управление наблюдательной платформой",36001,"Австралия, Бюро метеорологии (BoM)",,,,,Operational
bufr4/0/01/036/36002,001036,"Агентство, ответственное за управление наблюдательной платформой",36002,"Австралия, Совместный австралийский центр систем наблюдения за океаном (JAFOOS)",,,,,Operational
bufr4/0/01/036/36003,001036,"Агентство, ответственное за управление наблюдательной платформой",36003,"Австралия, Государственное объединение научных и прикладных исследований (CSIRO)",,,,,Operational
bufr4/0/01/036/36004-124000,001036,"Агентство, ответственное за управление наблюдательной платформой",36004-124000,Зарезервировано,,,,,Operational
bufr4/0/01/036/124001,001036,"Агентство, ответственное за управление наблюдательной платформой",124001,"Канада, Служба морских экологических данных (MEDS)",,,,,Operational
bufr4/0/01/036/124002,001036,"Агентство, ответственное за управление наблюдательной платформой",124002,"Канада, Институт океанических наук (IOS)",,,,,Operational
bufr4/0/01/036/124003-124172,001036,"Агентство, ответственное за управление наблюдательной платформой",124003-124172,Зарезервировано,,,,,Operational
bufr4/0/01/036/124173,001036,"Агентство, ответственное за управление наблюдательной платформой",124173,"Канада, Министерство окружающей среды Канады",,,,,Operational
bufr4/0/01/036/124174,001036,"Агентство, ответственное за управление наблюдательной платформой",124174,"Канада, Министерство национальной обороны",,,,,Operational
bufr4/0/01/036/124175,001036,"Агентство, ответственное за управление наблюдательной платформой",124175,"Канада, Nav Canada",,,,,Operational
bufr4/0/01/036/124176-156000,001036,"Агентство, ответственное за управление наблюдательной платформой",124176-156000,Зарезервировано,,,,,Operational
bufr4/0/01/036/156001,001036,"Агентство, ответственное за управление наблюдательной платформой",156001,"Китай, Государственная океаническая администрация",,,,,Operational
bufr4/0/01/036/156002,001036,"Агентство, ответственное за управление наблюдательной платформой",156002,"Китай, Второй институт океанографии, Государственная океаническая администрация",,,,,Operational
bufr4/0/01/036/156003,001036,"Агентство, ответственное за управление наблюдательной платформой",156003,"Китай, Второй институт океанографии, Государственная океаническая администрация",,,,,Operational
bufr4/0/01/036/156004-250000,001036,"Агентство, ответственное за управление наблюдательной платформой",156004-250000,Зарезервировано,,,,,Operational
bufr4/0/01/036/250001,001036,"Агентство, ответственное за управление наблюдательной платформой",250001,"Франция, Институт исследований для развития (IRD)",,,,,Operational
bufr4/0/01/036/250002,001036,"Агентство, ответственное за управление наблюдательной платформой",250002,"Франция, Французский институт исследования и эксплуатации моря (IFREMER)",,,,,Operational
bufr4/0/01/036/250003-276000,001036,"Агентство, ответственное за управление наблюдательной платформой",250003-276000,Зарезервировано,,,,,Operational
bufr4/0/01/036/276001,001036,"Агентство, ответственное за управление наблюдательной платформой",276001,"Германия, Федеральное управление морского судоходства и гидрографии (BSH)",,,,,Operational
bufr4/0/01/036/276002,001036,"Агентство, ответственное за управление наблюдательной платформой",276002,"Германия, Институт морских исследований, Киль",,,,,Operational
bufr4/0/01/036/276003-356000,001036,"Агентство, ответственное за управление наблюдательной платформой",276003-356000,Зарезервировано,,,,,Operational
bufr4/0/01/036/356001,001036,"Агентство, ответственное за управление наблюдательной платформой",356001,"Индия, Национальный институт океанографии (NIO)",,,,,Operational
bufr4/0/01/036/356002,001036,"Агентство, ответственное за управление наблюдательной платформой",356002,"Индия, Национальный институт океанографии (NIO)",,,,,Operational
bufr4/0/01/036/356003,001036,"Агентство, ответственное за управление наблюдательной платформой",356003,"Индия, Национальный центр информации об океане",,,,,Operational
bufr4/0/01/036/356004-392000,001036,"Агентство, ответственное за управление наблюдательной платформой",356004-392000,Зарезервировано,,,,,Operational
bufr4/0/01/036/392001,001036,"Агентство, ответственное за управление наблюдательной платформой",392001,"Япония, Японское метеорологическое агентство (JMA)",,,,,Operational
bufr4/0/01/036/392002,001036,"Агентство, ответственное за управление наблюдательной платформой",392002,"Япония, Система наблюдательных исследований передового рубежа для глобальных изменений",,,,,Operational
bufr4/0/01/036/392003,001036,"Агентство, ответственное за управление наблюдательной платформой",392003,"Япония, Японский центр морских наук и технологий (JAMSTEC)",,,,,Operational
bufr4/0/01/036/392004-410000,001036,"Агентство, ответственное за управление наблюдательной платформой",392004-410000,Зарезервировано,,,,,Operational
bufr4/0/01/036/410001,001036,"Агентство, ответственное за управление наблюдательной платформой",410001,"Республика Корея, Сеульский национальный университет",,,,,Operational
bufr4/0/01/036/410002,001036,"Агентство, ответственное за управление наблюдательной платформой",410002,"Республика Корея, Корейский институт исследований и разработок океана (KORDI)",,,,,Operational
bufr4/0/01/036/410003,001036,"Агентство, ответственное за управление наблюдательной платформой",410003,"Республика Корея, Метеорологический научно-исследовательский институт",,,,,Operational
bufr4/0/01/036/410004-540000,001036,"Агентство, ответственное за управление наблюдательной платформой",410004-540000,Зарезервировано,,,,,Operational
bufr4/0/01/036/540001,001036,"Агентство, ответственное за управление наблюдательной платформой",540001,"Новая Каледония, Институт исследований для развития (IRD)",,,,,Operational
bufr4/0/01/036/540002-554000,001036,"Агентство, ответственное за управление наблюдательной платформой",540002-554000,Зарезервировано,,,,,Operational
bufr4/0/01/036/554001,001036,"Агентство, ответственное за управление наблюдательной платформой",554001,"Новая Зеландия, Национальный институт водных и атмосферных исследований (NIWA)",,,,,Operational
bufr4/0/01/036/554002-643000,001036,"Агентство, ответственное за управление наблюдательной платформой",554002-643000,Зарезервировано,,,,,Operational
bufr4/0/01/036/643001,001036,"Агентство, ответственное за управление наблюдательной платформой",643001,"Российская Федерация, Государственный океанографический институт Росгидромета",,,,,Operational
bufr4/0/01/036/643002,001036,"Агентство, ответственное за управление наблюдательной платформой",643002,"Российская Федерация, Федеральная служба по гидрометеорологии и мониторингу окружающей среды",,,,,Operational
bufr4/0/01/036/643003-724000,001036,"Агентство, ответственное за управление наблюдательной платформой",643003-724000,Зарезервировано,,,,,Operational
bufr4/0/01/036/724001,001036,"Агентство, ответственное за управление наблюдательной платформой",724001,"Испания, Институт Испанской Океанографии",,,,,Operational
bufr4/0/01/036/724002-826000,001036,"Агентство, ответственное за управление наблюдательной платформой",724002-826000,Зарезервировано,,,,,Operational
bufr4/0/01/036/826001,001036,"Агентство, ответственное за управление наблюдательной платформой",826001,"Соединенное Королевство, Гидрографическое управление",,,,,Operational
bufr4/0/01/036/826002,001036,"Агентство, ответственное за управление наблюдательной платформой",826002,"Соединенное Королевство, Национальный центр океанографии (NOC)",,,,,Operational
bufr4/0/01/036/826003,001036,"Агентство, ответственное за управление наблюдательной платформой",826003,"Соединенное Королевство, Центр по вопросам окружающей среды, рыболовства и аквакультуры (Cefas)",,,,,Operational
bufr4/0/01/036/826004,001036,"Агентство, ответственное за управление наблюдательной платформой",826004,"Соединенное Королевство, Морская Шотландия (MS)",,,,,Operational
bufr4/0/01/036/826005,001036,"Агентство, ответственное за управление наблюдательной платформой",826005,"Соединенное Королевство, Морская лаборатория Плимута (PML)",,,,,Operational
bufr4/0/01/036/826006,001036,"Агентство, ответственное за управление наблюдательной платформой",826006,"Соединенное Королевство, Британская антарктическая служба (BAS)",,,,,Operational
bufr4/0/01/036/826007-840000,001036,"Агентство, ответственное за управление наблюдательной платформой",826007-840000,Зарезервировано,,,,,Operational
bufr4/0/01/036/840001,001036,"Агентство, ответственное за управление наблюдательной платформой",840001,"США, Атлантическая океанографическая и метеорологическая лаборатория NOAA (AOML)",,,,,Operational
bufr4/0/01/036/840002,001036,"Агентство, ответственное за управление наблюдательной платформой",840002,"США, Тихоокеанская морская экологическая лаборатория NOAA (PMEL)",,,,,Operational
bufr4/0/01/036/840003,001036,"Агентство, ответственное за управление наблюдательной платформой",840003,"США, Институт океанографии Скриппса (SIO)",,,,,Operational
bufr4/0/01/036/840004,001036,"Агентство, ответственное за управление наблюдательной платформой",840004,"США, Океанографический институт Вудс-Хоул (WHOI)",,,,,Operational
bufr4/0/01/036/840005,001036,"Агентство, ответственное за управление наблюдательной платформой",840005,"США, Университет Вашингтона",,,,,Operational
bufr4/0/01/036/840006,001036,"Агентство, ответственное за управление наблюдательной платформой",840006,"США, Военно-океанографическое управление",,,,,Operational
bufr4/0/01/036/840007-1048574,001036,"Агентство, ответственное за управление наблюдательной платформой",840007-1048574,Зарезервировано,,,,,Operational
bufr4/0/01/036/1048575,001036,"Агентство, ответственное за управление наблюдательной платформой",1048575,Отсутствующее значение,,,,,Operational
bufr4/0/01/038/0,001038,Доля морского льда,0,Льда в море не видно.,,,,,Operational
bufr4/0/01/038/1,001038,Доля морского льда,1,НСИДЦ ССМ/И Кавальери и др. (1992),,,,,Operational
bufr4/0/01/038/2,001038,Доля морского льда,2,AMSR-E,,,,,Operational
bufr4/0/01/038/3,001038,Доля морского льда,3,ЕЦММ.,,,,,Operational
bufr4/0/01/038/4,001038,Доля морского льда,4,"Облачная маска CMS (Франция), используемая Medspiration",,,,,Operational
bufr4/0/01/038/5,001038,Доля морского льда,5,EUMETSAT OSI-SAF,,,,,Operational
bufr4/0/01/038/6-30,001038,Доля морского льда,6-30,Зарезервировано для будущего использования,,,,,Operational
bufr4/0/01/038/31,001038,Доля морского льда,31,Отсутствующее значение,,,,,Operational
bufr4/0/01/044/0,001044,Стандартная генерация приложения,0,Зарезервировано,,,,,Operational
