Id,Category,CategoryOfSequences_rus,FXY1,Title_rus,SubTitle_rus,FXY2,ElementName_rus,ElementDescription_rus,Note_rus,noteIDs,Status
bufr4/3/22/001/1/310022,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,310022,"Идентификатор спутника, инструмент и тип продукта",,,,Operational
bufr4/3/22/001/2/301011,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,301011,"Год, месяц, день",,,,Operational
bufr4/3/22/001/3/301013,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,301013,"Час, минута, секунда",,,,Operational
bufr4/3/22/001/4/301021,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,301021,Широта/долгота (высокая точность),,,,Operational
bufr4/3/22/001/5/005041,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,005041,Номер строки сканирования,,,,Operational
bufr4/3/22/001/6/005043,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,005043,Число поля зрения,,,,Operational
bufr4/3/22/001/7/027080,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,027080,Угол азимута,,,,Operational
bufr4/3/22/001/8/005022,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,005022,Солнечный азимут,,,,Operational
bufr4/3/22/001/9/013040,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,013040,Поверхностный флаг,,,,Operational
bufr4/3/22/001/10/020010,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,020010,Облачность (общая),,,,Operational
bufr4/3/22/001/11/033085,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,033085,Качественные флаги оптической толщины аэрозоля,,,,Operational
bufr4/3/22/001/12/033115,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,033115,Оптическая толщина аэрозоля,,,,Operational
bufr4/3/22/001/13/105002,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,105002,Воспроизведите 5 дескрипторов 2 раза.,,,,Operational
bufr4/3/22/001/14/008099,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,008099,Определение направления,,,,Operational
bufr4/3/22/001/15/007024,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,007024,Зенитный угол спутника,,,,Operational
bufr4/3/22/001/16/007025,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,007025,Зенитный угол спутника,,,,Operational
bufr4/3/22/001/17/007075,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,007075,Угол рассеяния,,,,Operational
bufr4/3/22/001/18/007076,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,007076,Угол азимута,,,,Operational
bufr4/3/22/001/19/106000,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,106000,Отложенное воспроизведение 6 дескрипторов,,,,Operational
bufr4/3/22/001/20/031001,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,031001,Фактор отложенного воспроизведения дескрипторов,,,,Operational
bufr4/3/22/001/21/002071,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,002071,Спектрографическая длина волны,,,,Operational
bufr4/3/22/001/22/008043,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,008043,Тип атмосферного химического или физического компонента,,,,Operational
bufr4/3/22/001/23/015024,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,015024,Оптическая глубина,,,,Operational
bufr4/3/22/001/24/008043,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,008043,Тип атмосферного химического или физического компонента,,,,Operational
bufr4/3/22/001/25/015024,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,015024,Оптическая глубина,,,,Operational
bufr4/3/22/001/26/015042,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,015042,Отражательная способность,,,,Operational
bufr4/3/22/001/27/224000,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,224000,Статистические значения первого порядка следующие,,,,Operational
bufr4/3/22/001/28/236000,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,236000,Определить битовую карту присутствия данных,,,,Operational
bufr4/3/22/001/29/101000,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,101000,Отложенное воспроизведение 6 дескрипторов,,,,Operational
bufr4/3/22/001/30/031002,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,031002,Фактор отложенного воспроизведения дескрипторов,,,,Operational
bufr4/3/22/001/31/031031,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,031031,Индикатор наличия данных,,,,Operational
bufr4/3/22/001/32/001033,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,001033,Идентификация исходного/генерирующего центра,,,,Operational
bufr4/3/22/001/33/001032,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,001032,Генерация приложения,,,,Operational
bufr4/3/22/001/34/008023,22,Химические и аэрозольные последовательности,322001,Оптическая толщина аэрозоля,,008023,Статистические значения первого порядка следующие,,,,Operational
