FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
002001,Tipo de estación,0,Estación automática,,,,,Operational
002001,Tipo de estación,1,Estación dotada de personal,,,,,Operational
002001,Tipo de estación,2,Estación mixta: dotada de personal y automática,,,,,Operational
002001,Tipo de estación,3,Valor faltante,,,,,Operational
002002,Tipo de instrumentos para la medición del viento,1,Instrumentos homologados,"Tipo de instrumentos y unidades originales para la medición del viento (en m s¯¹, a menos que se indique otra cosa)",,,,Operational
002002,Tipo de instrumentos para la medición del viento,2,Medidos inicialmente en nudos,"Tipo de instrumentos y unidades originales para la medición del viento (en m s¯¹, a menos que se indique otra cosa)",,,,Operational
002002,Tipo de instrumentos para la medición del viento,3,Medidos inicialmente en km h-1,"Tipo de instrumentos y unidades originales para la medición del viento (en m s¯¹, a menos que se indique otra cosa)",,,,Operational
002002,Tipo de instrumentos para la medición del viento,Los 4,Valor faltante,"Tipo de instrumentos y unidades originales para la medición del viento (en m s¯¹, a menos que se indique otra cosa)",,,,Operational
002003,Tipo de instrumentos de medición utilizados,0,Instrumentos de medida de la presión asociados con equipo de medida del viento,,,,,Operational
002003,Tipo de instrumentos de medición utilizados,1,Teodolito óptico,,,,,Operational
002003,Tipo de instrumentos de medición utilizados,2,Radioteodolito,,,,,Operational
002003,Tipo de instrumentos de medición utilizados,3,Radar,,,,,Operational
002003,Tipo de instrumentos de medición utilizados,4,Sistema Omega en ondas miriamétricas,,,,,Operational
002003,Tipo de instrumentos de medición utilizados,5,Loran-C,,,,,Operational
002003,Tipo de instrumentos de medición utilizados,6,Perfilador del viento,,,,,Operational
002003,Tipo de instrumentos de medición utilizados,7,Navegación satelital,,,,,Operational
002003,Tipo de instrumentos de medición utilizados,8,Sistema de sondeo radioacústico (RASS),,,,,Operational
002003,Tipo de instrumentos de medición utilizados,9,Sodar,,,,,Operational
002003,Tipo de instrumentos de medición utilizados,10,Lidar,,,,,Operational
002003,Tipo de instrumentos de medición utilizados,11-13,Reservadas,,,,,Operational
002003,Tipo de instrumentos de medición utilizados,14,"Instrumento de medida de la presión asociado con equipos para la medición del viento, pero falla del elemento de medida de la presión durante el sondeo",,,,,Operational
002003,Tipo de instrumentos de medición utilizados,15,Valor faltante,,,,,Operational
002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se informa la evapotranspiración,0,Evaporímetro de tanque abierto de los Estados Unidos (sin cubierta),Evaporación,,,,Operational
002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se informa la evapotranspiración,1,Evaporímetro de tanque abierto de los Estados Unidos (cubierta de malla),Evaporación,,,,Operational
002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se informa la evapotranspiración,2,Evaporímetro GGI-3000 (enterrado),Evaporación,,,,Operational
002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se informa la evapotranspiración,3,Tanque de 20 m²,Evaporación,,,,Operational
002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se informa la evapotranspiración,4,Otros tipos,Evaporación,,,,Operational
002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se informa la evapotranspiración,5,Arroz,Evapotranspiración,,,,Operational
002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se informa la evapotranspiración,6,Trigo,Evapotranspiración,,,,Operational
002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se informa la evapotranspiración,7,Maíz,Evapotranspiración,,,,Operational
002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se informa la evapotranspiración,8,Sorgo,Evapotranspiración,,,,Operational
002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se informa la evapotranspiración,9,Otros cultivos,Evapotranspiración,,,,Operational
002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se informa la evapotranspiración,10-14,Reservadas,,,,,Operational
002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se informa la evapotranspiración,15,Valor faltante,,,,,Operational
002006,Tipo de instrumento de teledetección en altitud,0,Reservada,,,,,Operational
002006,Tipo de instrumento de teledetección en altitud,1,Lidar de retrodispersión elástica,,,,,Operational
002006,Tipo de instrumento de teledetección en altitud,2,Lidar de retrodispersión Ramn,,,,,Operational
002006,Tipo de instrumento de teledetección en altitud,3,Perfilador de viento por radar,,,,,Operational
002006,Tipo de instrumento de teledetección en altitud,4,Perfilador de viento con lidar,,,,,Operational
002006,Tipo de instrumento de teledetección en altitud,5,Perfilador de viento SODAR,,,,,Operational
002006,Tipo de instrumento de teledetección en altitud,6,Perfilador de viento,,,,,Operational
002006,Tipo de instrumento de teledetección en altitud,7,Lidar,,,,,Operational
002006,Tipo de instrumento de teledetección en altitud,8-62,Reservadas,,,,,Operational
002006,Tipo de instrumento de teledetección en altitud,63,Valor faltante,,,,,Operational
002007,Tipo de sensor del instrumento de medición del nivel de agua,0,Reservada,,,,,Operational
002007,Tipo de sensor del instrumento de medición del nivel de agua,1,Sistema de flotadores de codificador de eje,,,,,Operational
002007,Tipo de sensor del instrumento de medición del nivel de agua,2,Ultrasónico,,,,,Operational
002007,Tipo de sensor del instrumento de medición del nivel de agua,3,Radar,,,,,Operational
002007,Tipo de sensor del instrumento de medición del nivel de agua,4,Presión (transductor único),,,,,Operational
002007,Tipo de sensor del instrumento de medición del nivel de agua,5,Presión (transductor múltiple),,,,,Operational
002007,Tipo de sensor del instrumento de medición del nivel de agua,6,Presión (en pozo de amortiguación),,,,,Operational
002007,Tipo de sensor del instrumento de medición del nivel de agua,7,Presión de burbujeo,,,,,Operational
