Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
07,Secuencias de los informes de las observaciones de superficie (tierra),307001,(Estación de baja altitud),,301031,"Identificación y tipo de estación, fecha/hora, localización (gran exactitud), altura de la estación",,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307001,(Estación de baja altitud),,302011,Estación de baja altitud,Informe básico de observación de superficie,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307002,(Estación de baja altitud),,301032,"Identificación y tipo de estación, fecha/hora, localización (exactitud aproximada), altura de la estación",,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307002,(Estación de baja altitud),,302011,Estación de baja altitud,Informe básico de observación de superficie,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307003,(Estación de baja altitud),,307001,Estación de baja altitud,Localización (gran exactitud) e informe básico,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307003,(Estación de baja altitud),,101000,Repetición diferida de 1 descriptor,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307003,(Estación de baja altitud),,031001,Factor de repetición diferida del descriptor,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307003,(Estación de baja altitud),,302005,Capa de nubes,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307004,(Estación de baja altitud),,307002,Estación de baja altitud,Localización (exactitud aproximada) e informe básico,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307004,(Estación de baja altitud),,101000,Repetición diferida de 1 descriptor,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307004,(Estación de baja altitud),,031001,Factor de repetición diferida del descriptor,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307004,(Estación de baja altitud),,302005,Capa de nubes,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307005,(Estación de baja altitud),,307001,Estación de baja altitud,Localización (gran exactitud) e informe básico,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307005,(Estación de baja altitud),,101004,Repetir 1 descriptor 4 veces,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307005,(Estación de baja altitud),,302005,Capa de nubes,4 capas,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307006,(Estación de baja altitud),,307002,Estación de baja altitud,Localización (exactitud aproximada) e informe básico,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307006,(Estación de baja altitud),,101004,Repetir 1 descriptor 4 veces,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307006,(Estación de baja altitud),,302005,Capa de nubes,4 capas,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307007,(Estación de gran altitud),,301031,"Identificación y tipo de estación, fecha/hora, localización (gran exactitud), altura de la estación",,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307007,(Estación de gran altitud),,302012,Estación de gran altitud,Informe básico de observación de superficie,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307008,(Estación de gran altitud),,301032,"Identificación y tipo de estación, fecha/hora, localización (exactitud aproximada), altura de la estación",,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307008,(Estación de gran altitud),,302012,Estación de gran altitud,Informe básico de observación de superficie,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307009,(Estación de gran altitud),,301031,"Identificación y tipo de estación, fecha/hora, localización (gran exactitud), altura de la estación",,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307009,(Estación de gran altitud),,302013,Informe básico de observación de superficie,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,001063,Indicador de ubicación de la OACI,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,002001,Tipo de estación,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,301011,"Año, mes, día",YY,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,301012,"Hora, minuto","GG, gg",,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,301024,"Latitud/longitud (exactitud aproximada), altura de la estación",,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,007006,Altura por encima de la estación,Altura de un anemómetro,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,011001,Dirección del viento,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,011016,Dirección sinistrorsa extrema de un viento variable,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,011017,Dirección dextrorsa extrema de un viento variable,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,011002,Velocidad del viento,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,011041,Velocidad máxima de las ráfagas de viento,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,007006,Altura por encima de la estación,Altura de un termómetro,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,012001,Temperatura/temperatura del aire,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,012003,Temperatura del punto de rocío,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,010052,Ajuste del altímetro (QNH),,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307011,(Parte principal de los datos para la representación de la clave METAR/SPECI en BUFR),,020009,Indicador general del tiempo (TAF/METAR),,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307012,(Visibilidad horizontal),,103000,Repetición diferida de 3 descriptores,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307012,(Visibilidad horizontal),,031001,Factor de repetición diferida del descriptor,Hasta 3,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307012,(Visibilidad horizontal),,008023,Estadísticas de primer orden,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307012,(Visibilidad horizontal),,005021,Rumbo o azimut,Dirección de la visibilidad observada,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307012,(Visibilidad horizontal),,020001,Visibilidad horizontal,,,,Operational
07,Secuencias de los informes de las observaciones de superficie (tierra),307013,(Alcance visual en pista),,106000,Repetición diferida de 6 descriptores,,,,Operational
