Id,FXY,ElementName_zn,CodeFigure,EntryName_zn,EntryName_sub1_zn,EntryName_sub2_zn,Note_zn,noteIDs,Status,translated_by
bufr4/0/23/001/0,023001,事故早期通知 - 适用条款,0,保留,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/001/1,023001,事故早期通知 - 适用条款,1,第1条和第2条,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/001/2,023001,事故早期通知 - 适用条款,2,第3条,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/001/3,023001,事故早期通知 - 适用条款,3,第5.2条,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/001/4-6,023001,事故早期通知 - 适用条款,4-6,保留,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/001/7,023001,事故早期通知 - 适用条款,7,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/002/0,023002,涉及事件的活动或设施,0,保留,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/002/1,023002,涉及事件的活动或设施,1,地面核反应堆,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/002/2,023002,涉及事件的活动或设施,2,海上核反应堆,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/002/3,023002,涉及事件的活动或设施,3,太空核反应堆,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/002/4,023002,涉及事件的活动或设施,4,核燃料设施,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/002/5,023002,涉及事件的活动或设施,5,放射性废物管理设施,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/002/6,023002,涉及事件的活动或设施,6,核燃料或放射性废料的运输,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/002/7,023002,涉及事件的活动或设施,7,核燃料或放射性废料的储存,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/002/8,023002,涉及事件的活动或设施,8,放射性同位素的制造,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/002/9,023002,涉及事件的活动或设施,9,放射性同位素的制造,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/002/10,023002,涉及事件的活动或设施,10,放射性同位素的储存,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/002/11,023002,涉及事件的活动或设施,11,放射性同位素的储存,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/002/12,023002,涉及事件的活动或设施,12,放射性同位素的运输,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/002/13,023002,涉及事件的活动或设施,13,放射性同位素用于发电,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/002/14-29,023002,涉及事件的活动或设施,14-29,保留,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/002/30,023002,涉及事件的活动或设施,30,其他,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/002/31,023002,涉及事件的活动或设施,31,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/003/0,023003,发布类型,0,没有发布,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/003/1,023003,发布类型,1,释放到大气,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/003/2,023003,发布类型,2,释放到水中,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/003/3,023003,发布类型,3,释放到大气,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/003/4,023003,发布类型,4,释放到大气,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/003/5,023003,发布类型,5,预计释放到水中,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/003/6,023003,发布类型,6,预计释放到水中,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/003/7,023003,发布类型,7,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/004/0,023004,在边境附近采取的对策,0,没有对策,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/004/1,023004,在边境附近采取的对策,1,疏散,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/004/2,023004,在边境附近采取的对策,2,庇护,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/004/3,023004,在边境附近采取的对策,3,预防措施,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/004/4,023004,在边境附近采取的对策,4,水,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/004/5-6,023004,在边境附近采取的对策,5-6,保留,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/004/7,023004,在边境附近采取的对策,7,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/005/0,023005,事件原因,0,事件状态不明白发生了什么,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/23/005/1,023005,事件原因,1,事件状态不明白发生了什么,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/005/2,023005,事件原因,2,保留,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/005/3,023005,事件原因,3,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/23/006/0,023006,事件情况,0,没有改善,,,,,Operational,"AI Translator: azure, Glossary Not Used"
