Id,Category,CategoryOfSequences_zn,FXY1,Title_zn,SubTitle_zn,FXY2,ElementName_zn,ElementDescription_zn,Note_zn,noteIDs,Status,translated_by
bufr4/3/12/001/1/301043,12,单级报告序列（常规数据）,312001,,,301043,（卫星标识符，风速计算方法，日期/时间，位置）,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/001/2/304001,12,单级报告序列（常规数据）,312001,,,304001,云顶压力、温度、风,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/002/1/301043,12,单级报告序列（常规数据）,312002,,,301043,（卫星标识符，风速计算方法，日期/时间，位置）,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/002/2/304002,12,单级报告序列（常规数据）,312002,,,304002,云顶压力、温度、风,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/003/1/301042,12,单级报告序列（常规数据）,312003,,,301042,（卫星标识符、仪器、数据处理技术、日期/时间）,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/003/2/304003,12,单级报告序列（常规数据）,312003,,,304003,表面温度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/004/1/301042,12,单级报告序列（常规数据）,312004,,,301042,（卫星标识符、仪器、数据处理技术、日期/时间）,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/004/2/304004,12,单级报告序列（常规数据）,312004,,,304004,云顶压力、温度、风,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/005/1/301042,12,单级报告序列（常规数据）,312005,,,301042,（卫星标识符、仪器、数据处理技术、日期/时间）,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/005/2/020014,12,单级报告序列（常规数据）,312005,,,020014,云顶高度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/006/1/301044,12,单级报告序列（常规数据）,312006,,,301044,（卫星标识符，湿度计算方法，日期/时间，位置）,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/006/2/304005,12,单级报告序列（常规数据）,312006,,,304005,层平均相对湿度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/007/1/301042,12,单级报告序列（常规数据）,312007,,,301042,（卫星标识符、仪器、数据处理技术、日期/时间）,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/007/2/304006,12,单级报告序列（常规数据）,312007,,,304006,辐射,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/010/1/001007,12,单级报告序列（常规数据）,312010,（轨道信息，第一部分）,,001007,卫星标识符、仪器和产品类型,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/12/010/2/005040,12,单级报告序列（常规数据）,312010,（轨道信息，第一部分）,,005040,轨道号,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
